abstract,author,meta,subject,title
"This paper describes a novel approach to learning term-weighting schemes
(TWSs) in the context of text classification. In text mining a TWS determines
the way in which documents will be represented in a vector space model, before
applying a classifier. Whereas acceptable performance has been obtained with
standard TWSs (e.g., Boolean and term-frequency schemes), the definition of
TWSs has been traditionally an art. Further, it is still a difficult task to
determine what is the best TWS for a particular problem and it is not clear
yet, whether better schemes, than those currently available, can be generated
by combining known TWS. We propose in this article a genetic program that aims
at learning effective TWSs that can improve the performance of current schemes
in text classification. The genetic program learns how to combine a set of
basic units to give rise to discriminative TWSs. We report an extensive
experimental study comprising data sets from thematic and non-thematic text
classification as well as from image classification. Our study shows the
validity of the proposed method; in fact, we show that TWSs learned with the
genetic program outperform traditional schemes and other TWSs proposed in
recent works. Further, we show that TWSs learned from a specific domain can be
effectively used for other tasks.
","Hugo Jair Escalante, Mauricio A. Garc?a-Lim?n, Alicia Morales-Reyes, Mario Graff, Manuel Montes-y-G?mez, Eduardo F. Morales","Thu, 2 Oct 2014 18:38:11 GMT (161kb) [v2] Fri, 3 Oct 2014 19:47:03 GMT (161kb) [v3] Mon, 6 Oct 2014 20:48:29 GMT (161kb)",Neural and Evolutionary Computing (cs.NE),Term-Weighting Learning via Genetic Programming for Text Classification
"This paper presents a goodness-of-fit test for parametric regression models
with scalar response and directional predictor, that is, vectors in a sphere of
arbitrary dimension. The testing procedure is based on the weighted squared
distance between a smooth and a parametric regression estimator, where the
smooth regression estimator is obtained by a projected local approach.
Asymptotic behavior of the test statistic under the null hypothesis and local
alternatives is provided, jointly with a consistent bootstrap algorithm for
application in practice. A simulation study illustrates the performance of the
test in finite samples. The procedure is also applied to a real data example
from text mining.
","Eduardo Garc?a-Portugu?s, Ingrid Van Keilegom, Rosa M. Crujeiras, Wenceslao Gonz?lez-Manteiga","Mon, 1 Sep 2014 19:01:12 GMT (3457kb,D) [v2] Sun, 28 Sep 2014 03:19:22 GMT (1862kb,D) [v3] Fri, 3 Apr 2015 15:08:59 GMT (1863kb,D)",Methodology (stat.ME),Testing parametric models in linear-directional regression
"Cluster analysis is a field of data analysis that extracts underlying
patterns in data. One application of cluster analysis is in text-mining, the
analysis of large collections of text to find similarities between documents.
We used a collection of about 30,000 tweets extracted from Twitter just before
the World Cup started. A common problem with real world text data is the
presence of linguistic noise. In our case it would be extraneous tweets that
are unrelated to dominant themes. To combat this problem, we created an
algorithm that combined the DBSCAN algorithm and a consensus matrix. This way
we are left with the tweets that are related to those dominant themes. We then
used cluster analysis to find those topics that the tweets describe. We
clustered the tweets using k-means, a commonly used clustering algorithm, and
Non-Negative Matrix Factorization (NMF) and compared the results. The two
algorithms gave similar results, but NMF proved to be faster and provided more
easily interpreted results. We explored our results using two visualization
tools, Gephi and Wordle.
","Daniel Godfrey, Caley Johns, Carl Meyer, Shaina Race, Carol Sadek","Thu, 21 Aug 2014 17:58:33 GMT (2293kb,D)",Machine Learning (stat.ML),A Case Study in Text Mining: Interpreting Twitter Data From World Cup Tweets
"In the biclustering problem, we seek to simultaneously group observations and
features. While biclustering has applications in a wide array of domains,
ranging from text mining to collaborative filtering, the problem of identifying
structure in high dimensional genomic data motivates this work. In this
context, biclustering enables us to identify subsets of genes that are
co-expressed only within a subset of experimental conditions. We present a
convex formulation of the biclustering problem that possesses a unique global
minimizer and an iterative algorithm, COBRA, that is guaranteed to identify it.
Our approach generates an entire solution path of possible biclusters as a
single tuning parameter is varied. We also show how to reduce the problem of
selecting this tuning parameter to solving a trivial modification of the convex
biclustering problem. The key contributions of our work are its simplicity,
interpretability, and algorithmic guarantees - features that arguably are
lacking in the current alternative algorithms. We demonstrate the advantages of
our approach, which includes stably and reproducibly identifying biclusterings,
on simulated and real microarray data.
","Eric C. Chi, Genevera I. Allen, Richard G. Baraniuk","Tue, 5 Aug 2014 03:27:17 GMT (258kb,D) [v2] Thu, 25 Sep 2014 21:39:47 GMT (981kb,D) [v3] Fri, 29 Jan 2016 00:09:49 GMT (983kb,D) [v4] Fri, 15 Apr 2016 19:57:55 GMT (769kb,D)",Methodology (stat.ME),Convex Biclustering
"Neural network techniques are widely applied to obtain high-quality
distributed representations of words, i.e., word embeddings, to address text
mining, information retrieval, and natural language processing tasks. Recently,
efficient methods have been proposed to learn word embeddings from context that
captures both semantic and syntactic relationships between words. However, it
is challenging to handle unseen words or rare words with insufficient context.
In this paper, inspired by the study on word recognition process in cognitive
psychology, we propose to take advantage of seemingly less obvious but
essentially important morphological knowledge to address these challenges. In
particular, we introduce a novel neural network architecture called KNET that
leverages both contextual information and morphological word similarity built
based on morphological knowledge to learn word embeddings. Meanwhile, the
learning architecture is also able to refine the pre-defined morphological
knowledge and obtain more accurate word similarity. Experiments on an
analogical reasoning task and a word similarity task both demonstrate that the
proposed KNET framework can greatly enhance the effectiveness of word
embeddings.
","Qing Cui, Bin Gao, Jiang Bian, Siyu Qiu, Tie-Yan Liu","Mon, 7 Jul 2014 12:45:10 GMT (220kb,D) [v2] Mon, 1 Sep 2014 16:03:47 GMT (317kb,D) [v3] Fri, 5 Sep 2014 15:58:35 GMT (317kb,D)",Computation and Language (cs.CL),KNET: A General Framework for Learning Word Embedding using Morphological Knowledge
"We revisit the problem of predicting directional movements of stock prices
based on news articles: here our algorithm uses daily articles from The Wall
Street Journal to predict the closing stock prices on the same day. We propose
a unified latent space model to characterize the ""co-movements"" between stock
prices and news articles. Unlike many existing approaches, our new model is
able to simultaneously leverage the correlations: (a) among stock prices, (b)
among news articles, and (c) between stock prices and news articles. Thus, our
model is able to make daily predictions on more than 500 stocks (most of which
are not even mentioned in any news article) while having low complexity. We
carry out extensive backtesting on trading strategies based on our algorithm.
The result shows that our model has substantially better accuracy rate (55.7%)
compared to many widely used algorithms. The return (56%) and Sharpe ratio due
to a trading strategy based on our model are also much higher than baseline
indices.
","Felix Ming Fai Wong, Zhenming Liu, Mung Chiang","Fri, 27 Jun 2014 22:34:47 GMT (398kb,D)",Learning (cs.LG),Stock Market Prediction from WSJ: Text Mining via Sparse Matrix Factorization
"Online forums enable users to discuss together around various topics. One of
the serious problems of these environments is high volume of discussions and
thus information overload problem. Unfortunately without considering the users
interests, traditional Information Retrieval (IR) techniques are not able to
solve the problem. Therefore, employment of a Recommender System (RS) that
could suggest favorite's topics of users according to their tastes could
increases the dynamism of forum and prevent the users from duplicate posts. In
addition, consideration of semantics can be useful for increasing the
performance of IR based RS. Our goal is study of impact of ontology and data
mining techniques on improving of content-based RS. For this purpose, at first,
three type of ontologies will be constructed from the domain corpus with
utilization of text mining, Natural Language Processing (NLP) and Wordnet and
then they will be used as an input in two kind of RS: one, fully ontology-based
and one with enriching the user profile vector with ontology in vector space
model (VSM) (proposed method). Afterward the results will be compared with the
simple VSM based RS. Given results show that the proposed RS presents the
highest performance.
","Hadi Fanaee-T, Mehran Yazdi","Thu, 12 Jun 2014 16:02:16 GMT (1792kb)",Information Retrieval (cs.IR),A Semantic VSM-Based Recommender System
"In this paper we propose a general framework for learning distributed
representations of attributes: characteristics of text whose representations
can be jointly learned with word embeddings. Attributes can correspond to
document indicators (to learn sentence vectors), language indicators (to learn
distributed language representations), meta-data and side information (such as
the age, gender and industry of a blogger) or representations of authors. We
describe a third-order model where word context and attribute vectors interact
multiplicatively to predict the next word in a sequence. This leads to the
notion of conditional word similarity: how meanings of words change when
conditioned on different attributes. We perform several experimental tasks
including sentiment classification, cross-lingual document classification, and
blog authorship attribution. We also qualitatively evaluate conditional word
neighbours and attribute-conditioned text generation.
","Ryan Kiros, Richard S. Zemel, Ruslan Salakhutdinov","Tue, 10 Jun 2014 20:29:10 GMT (350kb,D)",Learning (cs.LG),A Multiplicative Model for Learning Distributed Text-Based Attribute Representations
"Service oriented architecture integrated with text mining allows services to
extract information in a well defined manner. In this paper, it is proposed to
design a knowledge extracting system for the Ocean Information Data System.
Deployed ARGO floating sensors of INCOIS (Indian National Council for Ocean
Information Systems) organization reflects the characteristics of ocean. This
is forwarded to the OIDS (Ocean Information Data System). For the data received
from OIDS, pre-processing techniques are applied. Pre-processing involves the
header retrieval and data separation. Header information is used to identify
the region of sensor, whereas data is used in the analysis process of Ocean
Information System. Analyzed data is segmented based on the region, by the
header value. Mining technique and composition principle is applied on the
segments for further analysis. Index Terms-- Service oriented architecture;
Text Mining; ARGO floating sensor; INCOIS; OIDS; Pre-processing.
","P. Ramya, S. Sasirekha","Sat, 7 Jun 2014 03:04:02 GMT (667kb)",Information Retrieval (cs.IR),Text Mining System for Non-Expert Miners
"Chinese characters have a complex and hierarchical graphical structure
carrying both semantic and phonetic information. We use this structure to
enhance the text model and obtain better results in standard NLP operations.
First of all, to tackle the problem of graphical variation we define
allographic classes of characters. Next, the relation of inclusion of a
subcharacter in a characters, provides us with a directed graph of allographic
classes. We provide this graph with two weights: semanticity (semantic relation
between subcharacter and character) and phoneticity (phonetic relation) and
calculate ""most semantic subcharacter paths"" for each character. Finally,
adding the information contained in these paths to unigrams we claim to
increase the efficiency of text mining methods. We evaluate our method on a
text classification task on two corpora (Chinese and Japanese) of a total of 18
million characters and get an improvement of 3% on an already high baseline of
89.6% precision, obtained by a linear SVM classifier. Other possible
applications and perspectives of the system are discussed.
",Yannis Haralambous,"Wed, 21 May 2014 16:49:50 GMT (2054kb)",Computation and Language (cs.CL),New Perspectives in Sinographic Language Processing Through the Use of Character Structure
"Stemming is a pre-processing step in Text Mining applications as well as a
very common requirement of Natural Language processing functions. Stemming is
the process for reducing inflected words to their stem. The main purpose of
stemming is to reduce different grammatical forms / word forms of a word like
its noun, adjective, verb, adverb etc. to its root form. Stemming is widely
uses in Information Retrieval system and reduces the size of index files. We
can say that the goal of stemming is to reduce inflectional forms and sometimes
derivationally related forms of a word to a common base form. In this paper we
have discussed different stemming algorithm for non-Indian and Indian language,
methods of stemming, accuracy and errors.
","Dalwadi Bijal, Suthar Sanket","Thu, 10 Apr 2014 17:16:01 GMT (264kb)",Computation and Language (cs.CL),Overview of Stemming Algorithms for Indian and Non-Indian Languages
"This paper proposes an information retrieval method for the economy news. The
effect of economy news, are researched in the word level and stock market
values are considered as the ground proof. The correlation between stock market
prices and economy news is an already addressed problem for most of the
countries. The most well-known approach is applying the text mining approaches
to the news and some time series analysis techniques over stock market closing
values in order to apply classification or clustering algorithms over the
features extracted. This study goes further and tries to ask the question what
are the available time series analysis techniques for the stock market closing
values and which one is the most suitable? In this study, the news and their
dates are collected into a database and text mining is applied over the news,
the text mining part has been kept simple with only term frequency-inverse
document frequency method. For the time series analysis part, we have studied
10 different methods such as random walk, moving average, acceleration,
Bollinger band, price rate of change, periodic average, difference, momentum or
relative strength index and their variation. In this study we have also
explained these techniques in a comparative way and we have applied the methods
over Turkish Stock Market closing values for more than a 2 year period. On the
other hand, we have applied the term frequency-inverse document frequency
method on the economy news of one of the high-circulating newspapers in Turkey.
","Sadi Evren Seker, Cihan Mert, Khaled Al-Naami, Nuri Ozalp, Ugur Ayan","Sat, 8 Mar 2014 19:50:15 GMT (363kb)","Computational Engineering, Finance, and Science (cs.CE)",Time Series Analysis on Stock Market for Text Mining Correlation of Economy News
"Rotationally symmetric distributions on the p-dimensional unit hypersphere,
extremely popular in directional statistics, involve a location parameter theta
that indicates the direction of the symmetry axis. The most classical way of
addressing the spherical location problem H_0:theta=theta_0, with theta_0 a
fixed location, is the so-called Watson test, which is based on the sample mean
of the observations. This test enjoys many desirable properties, but its
implementation requires the sample size n to be large compared to the dimension
p. This is a severe limitation, since more and more problems nowadays involve
high-dimensional directional data (e.g., in genetics or text mining). In this
work, we therefore introduce a modified Watson statistic that can cope with
high-dimensionality. We derive its asymptotic null distribution as both n and p
go to infinity. This is achieved in a universal asymptotic framework that
allows p to go to infinity arbitrarily fast (or slowly) as a function of n. We
further show that our results also provide high-dimensional tests for a problem
that has recently attracted much attention, namely that of testing that the
covariance matrix of a multinormal distribution has a ""theta_0-spiked""
structure. Finally, a Monte Carlo simulation study corroborates our asymptotic
results.
","Christophe Ley, Davy Paindaveine, Thomas Verdebout","Wed, 12 Feb 2014 13:56:55 GMT (546kb)",Statistics Theory (math.ST),High-dimensional tests for spherical location and spiked covariance
"Researchers and scientists increasingly find themselves in the position of
having to quickly understand large amounts of technical material. Our goal is
to effectively serve this need by using bibliometric text mining and
summarization techniques to generate summaries of scientific literature. We
show how we can use citations to produce automatically generated, readily
consumable, technical extractive summaries. We first propose C-LexRank, a model
for summarizing single scientific articles based on citations, which employs
community detection and extracts salient information-rich sentences. Next, we
further extend our experiments to summarize a set of papers, which cover the
same scientific topic. We generate extractive summaries of a set of Question
Answering (QA) and Dependency Parsing (DP) papers, their abstracts, and their
citation sentences and show that citations have unique information amenable to
creating a summary.
","Vahed Qazvinian, Dragomir R. Radev, Saif M. Mohammad, Bonnie Dorr, David Zajic, Michael Whidby, Taesun Moon","Tue, 4 Feb 2014 01:33:10 GMT (637kb)",Information Retrieval (cs.IR),Generating Extractive Summaries of Scientific Paradigms
"This study aims to publish a novel similarity metric to increase the speed of
comparison operations. Also the new metric is suitable for distance-based
operations among strings. Most of the simple calculation methods, such as
string length are fast to calculate but does not represent the string
correctly. On the other hand the methods like keeping the histogram over all
characters in the string are slower but good to represent the string
characteristics in some areas, like natural language. We propose a new metric,
easy to calculate and satisfactory for string comparison. Method is built on a
hash function, which gets a string at any size and outputs the most frequent K
characters with their frequencies. The outputs are open for comparison and our
studies showed that the success rate is quite satisfactory for the text mining
operations.
","Sadi Evren Seker, Oguz Altun, U?ur Ayan, Cihan Mert","Sat, 25 Jan 2014 23:40:46 GMT (930kb)",Data Structures and Algorithms (cs.DS),A Novel String Distance Function based on Most Frequent K Characters
"For marketing to function in a globalized world it must respect a diverse set
of local cultures. With marketing efforts extending to social media platforms,
the crossing of cultural boundaries can happen in an instant. In this paper we
examine how culture influences the popularity of marketing messages in social
media platforms. Text mining, automated translation and sentiment analysis
contribute largely to our research. From our analysis of 400 posts on the
localized Google+ pages of German car brands in Germany and the US, we conclude
that posting time and emotions are important predictors for reshare counts.
","Ronald Hochreiter, Christoph Waldhauser","Wed, 22 Jan 2014 16:41:27 GMT (57kb,D) [v2] Wed, 16 Apr 2014 16:05:10 GMT (603kb)",Social and Information Networks (cs.SI),Data Mining Cultural Aspects of Social Media Marketing
"Nonnegative matrix factorization (NMF) has become a widely used tool for the
analysis of high-dimensional data as it automatically extracts sparse and
meaningful features from a set of nonnegative data vectors. We first illustrate
this property of NMF on three applications, in image processing, text mining
and hyperspectral imaging --this is the why. Then we address the problem of
solving NMF, which is NP-hard in general. We review some standard NMF
algorithms, and also present a recent subclass of NMF problems, referred to as
near-separable NMF, that can be solved efficiently (that is, in polynomial
time), even in the presence of noise --this is the how. Finally, we briefly
describe some problems in mathematics and computer science closely related to
NMF via the nonnegative rank.
",Nicolas Gillis,"Tue, 21 Jan 2014 09:03:12 GMT (2058kb) [v2] Fri, 7 Mar 2014 10:32:43 GMT (2064kb)",Machine Learning (stat.ML),The Why and How of Nonnegative Matrix Factorization
"Multilingual text processing is useful because the information content found
in different languages is complementary, both regarding facts and opinions.
While Information Extraction and other text mining software can, in principle,
be developed for many languages, most text analysis tools have only been
applied to small sets of languages because the development effort per language
is large. Self-training tools obviously alleviate the problem, but even the
effort of providing training data and of manually tuning the results is usually
considerable. In this paper, we gather insights by various multilingual system
developers on how to minimise the effort of developing natural language
processing applications for many languages. We also explain the main guidelines
underlying our own effort to develop complex text mining software for tens of
languages. While these guidelines - most of all: extreme simplicity - can be
very restrictive and limiting, we believe to have shown the feasibility of the
approach through the development of the Europe Media Monitor (EMM) family of
applications (this http URL). EMM is a set of complex
media monitoring tools that process and analyse up to 100,000 online news
articles per day in between twenty and fifty languages. We will also touch upon
the kind of language resources that would make it easier for all to develop
highly multilingual text mining applications. We will argue that - to achieve
this - the most needed resources would be freely available, simple, parallel
and uniform multilingual dictionaries, corpora and software tools.
",Ralf Steinberger,"Mon, 13 Jan 2014 18:05:28 GMT (753kb)",Computation and Language (cs.CL),A survey of methods to ease the development of highly multilingual text mining applications
"The correlation and interactions among different biological entities comprise
the biological system. Although already revealed interactions contribute to the
understanding of different existing systems, researchers face many questions
everyday regarding inter-relationships among entities. Their queries have
potential role in exploring new relations which may open up a new area of
investigation. In this paper, we introduce a text mining based method for
answering the biological queries in terms of statistical computation such that
researchers can come up with new knowledge discovery. It facilitates user to
submit their query in natural linguistic form which can be treated as
hypothesis. Our proposed approach analyzes the hypothesis and measures the
p-value of the hypothesis with respect to the existing literature. Based on the
measured value, the system either accepts or rejects the hypothesis from
statistical point of view. Moreover, even it does not find any direct
relationship among the entities of the hypothesis, it presents a network to
give an integral overview of all the entities through which the entities might
be related. This is also congenial for the researchers to widen their view and
thus think of new hypothesis for further investigation. It assists researcher
to get a quantitative evaluation of their assumptions such that they can reach
a logical conclusion and thus aids in relevant re-searches of biological
knowledge discovery. The system also provides the researchers a graphical
interactive interface to submit their hypothesis for assessment in a more
convenient way.
","Md. Naseef-Ur-Rahman Chowdhury, Suvankar Paul, Kazi Zakia Sultana","Thu, 9 Jan 2014 18:05:15 GMT (264kb)",Information Retrieval (cs.IR),Statistical Analysis based Hypothesis Testing Method in Biological Knowledge Discovery
"Machine learning for text classification is the underpinning of document
cataloging, news filtering, document steering and exemplification. In text
mining realm, effective feature selection is significant to make the learning
task more accurate and competent. One of the traditional lazy text classifier
k-Nearest Neighborhood (kNN) has a major pitfall in calculating the similarity
between all the objects in training and testing sets, there by leads to
exaggeration of both computational complexity of the algorithm and massive
consumption of main memory. To diminish these shortcomings in viewpoint of a
data-mining practitioner an amalgamative technique is proposed in this paper
using a novel restructured version of kNN called AugmentedkNN(AkNN) and
k-Medoids(kMdd) clustering.The proposed work comprises preprocesses on the
initial training set by imposing attribute feature selection for reduction of
high dimensionality, also it detects and excludes the high-fliers samples in
the initial training set and restructures a constrictedtraining set. The kMdd
clustering algorithm generates the cluster centers (as interior objects) for
each category and restructures the constricted training set with centroids.
This technique is amalgamated with AkNNclassifier that was prearranged with
text mining similarity measures. Eventually, significantweights and ranks were
assigned to each object in the new training set based upon their accessory
towards the object in testing set. Experiments conducted on Reuters-21578 a UCI
benchmark text mining data set, and comparisons with traditional kNNclassifier
designates the referredmethod yieldspreeminentrecitalin both clustering and
classification.
","RamachandraRao Kurada, Dr. K Karteeka Pavan","Mon, 9 Dec 2013 10:36:22 GMT (605kb)",Information Retrieval (cs.IR),Novel text categorization by amalgamation of augmented k-nearest neighborhood classification and k-medoids clustering
"As the growing interest of web recommendation systems those are applied to
deliver customized data for their users, we started working on this system.
Generally the recommendation systems are divided into two major categories such
as collaborative recommendation system and content based recommendation system.
In case of collaborative recommen-dation systems, these try to seek out users
who share same tastes that of given user as well as recommends the websites
according to the liking given user. Whereas the content based recommendation
systems tries to recommend web sites similar to those web sites the user has
liked. In the recent research we found that the efficient technique based on
asso-ciation rule mining algorithm is proposed in order to solve the problem of
web page recommendation. Major problem of the same is that the web pages are
given equal importance. Here the importance of pages changes according to the
fre-quency of visiting the web page as well as amount of time user spends on
that page. Also recommendation of newly added web pages or the pages those are
not yet visited by users are not included in the recommendation set. To
over-come this problem, we have used the web usage log in the adaptive
association rule based web mining where the asso-ciation rules were applied to
personalization. This algorithm was purely based on the Apriori data mining
algorithm in order to generate the association rules. However this method also
suffers from some unavoidable drawbacks. In this paper we are presenting and
investigating the new approach based on weighted Association Rule Mining
Algorithm and text mining. This is improved algorithm which adds semantic
knowledge to the results, has more efficiency and hence gives better quality
and performances as compared to existing approaches.
","Ujwala Wanaskar, Sheetal Vij, Debajyoti Mukhopadhyay","Thu, 28 Nov 2013 04:22:55 GMT (451kb)",Information Retrieval (cs.IR),A Hybrid Web Recommendation System based on the Improved Association Rule Mining Algorithm
"Principal component analysis (PCA) and related techniques have been
successfully employed in natural language processing. Text mining applications
in the age of the online social media (OSM) face new challenges due to
properties specific to these use cases (e.g. spelling issues specific to texts
posted by users, the presence of spammers and bots, service announcements,
etc.). In this paper, we employ a Robust PCA technique to separate typical
outliers and highly localized topics from the low-dimensional structure present
in language use in online social networks. Our focus is on identifying
geospatial features among the messages posted by the users of the Twitter
microblogging service. Using a dataset which consists of over 200 million
geolocated tweets collected over the course of a year, we investigate whether
the information present in word usage frequencies can be used to identify
regional features of language use and topics of interest. Using the PCA pursuit
method, we are able to identify important low-dimensional features, which
constitute smoothly varying functions of the geographic location.
","D?niel Kondor, Istv?n Csabai, L?szl? Dobos, J?nos Sz?le, Norbert Barankai, Tam?s Hanyecz, Tam?s Seb?k, Zs?fia Kallus, G?bor Vattay","Tue, 5 Nov 2013 19:31:33 GMT (1581kb,D)",Computation and Language (cs.CL),Using Robust PCA to estimate regional characteristics of language use from geo-tagged Twitter messages
"Many of quality approaches are described in hundreds of textual pages. Manual
processing of information consumes plenty of resources. In this report we
present a text mining approach applied on CMMI, one well known and widely known
quality approach. The text mining analysis can provide a quick overview on the
scope of a quality approaches. The result of the analysis could accelerate the
understanding and the selection of quality approaches.
","Z?dor D?niel Kelemen, Rob Kusters, Jos Trienekens, Katalin Balla","Tue, 22 Oct 2013 17:14:27 GMT (600kb) [v2] Mon, 11 Nov 2013 18:38:57 GMT (0kb,I)",Software Engineering (cs.SE),Towards Applying Text Mining Techniques on Software Quality Standards and Models
"The riots in Stockholm in May 2013 were an event that reverberated in the
world media for its dimension of violence that had spread through the Swedish
capital. In this study we have investigated the role of social media in
creating media phenomena via text mining and natural language processing. We
have focused on two channels of communication for our analysis: Twitter and
Poloniainfo.se (Forum of Polish community in Sweden). Our preliminary results
show some hot topics driving discussion related mostly to Swedish Police and
Swedish Politics by counting word usage. Typical features for media
intervention are presented. We have built networks of most popular phrases,
clustered by categories (geography, media institution, etc.). Sentiment
analysis shows negative connotation with Police. The aim of this preliminary
exploratory quantitative study was to generate questions and hypotheses, which
we could carefully follow by deeper more qualitative methods.
","Andrzej Jarynowski, Amir Rostami","Fri, 4 Oct 2013 13:04:45 GMT (702kb)",Social and Information Networks (cs.SI),Reading Stockholm Riots 2013 in social media by text-mining
"Data reflecting social and business relations has often form of network of
connections between entities (called social network). In such network important
and influential users can be identified as well as groups of strongly connected
users. Finding such groups and observing their evolution becomes an
increasingly important research problem. One of the significant problems is to
develop method incorporating not only information about connections between
entities but also information obtained from text written by the users. Method
presented in this paper combine social network analysis and text mining in
order to understand groups evolution.
","Bogdan Gliwa, Anna Zygmunt, Stanis©©aw Podg?rski","Thu, 22 Aug 2013 21:41:18 GMT (550kb,D)",Social and Information Networks (cs.SI),Incorporating Text Analysis into Evolution of Social Groups in Blogosphere
"The Clinical E-Science Framework (CLEF) project was used to extract important
information from medical texts by building a system for the purpose of clinical
research, evidence-based healthcare and genotype-meets-phenotype informatics.
The system is divided into two parts, one part concerns with the identification
of relationships between clinically important entities in the text. The full
parses and domain-specific grammars had been used to apply many approaches to
extract the relationship. In the second part of the system, statistical machine
learning (ML) approaches are applied to extract relationship. A corpus of
oncology narratives that hand annotated with clinical relationships can be used
to train and test a system that has been designed and implemented by supervised
machine learning (ML) approaches. Many features can be extracted from these
texts that are used to build a model by the classifier. Multiple supervised
machine learning algorithms can be applied for relationship extraction. Effects
of adding the features, changing the size of the corpus, and changing the type
of the algorithm on relationship extraction are examined. Keywords: Text
mining; information extraction; NLP; entities; and relations.
","Wafaa Tawfik Abdel-moneim, Mohamed Hashem Abdel-Aziz, Mohamed Monier Hassan","Fri, 21 Jun 2013 15:30:09 GMT (613kb)",Information Retrieval (cs.IR),Clinical Relationships Extraction Techniques from Patient Narratives
"Fuzzy logic deals with degrees of truth. In this paper, we have shown how to
apply fuzzy logic in text mining in order to perform document clustering. We
took an example of document clustering where the documents had to be clustered
into two categories. The method involved cleaning up the text and stemming of
words. Then, we chose m number of features which differ significantly in their
word frequencies (WF), normalized by document length, between documents
belonging to these two clusters. The documents to be clustered were represented
as a collection of m normalized WF values. Fuzzy c-means (FCM) algorithm was
used to cluster these documents into two clusters. After the FCM execution
finished, the documents in the two clusters were analysed for the values of
their respective m features. It was known that documents belonging to a
document type, say X, tend to have higher WF values for some particular
features. If the documents belonging to a cluster had higher WF values for
those same features, then that cluster was said to represent X. By fuzzy logic,
we not only get the cluster name, but also the degree to which a document
belongs to a cluster.
","Sumit Goswami, Mayank Singh Shishodia","Thu, 6 Jun 2013 07:35:23 GMT (359kb)",Learning (cs.LG),A Fuzzy Based Approach to Text Mining and Document Clustering
"The fourth international workshop on Computational Models for Cell Processes
(CompMod 2013) took place on June 11, 2013 at the {\AA}bo Akademi University,
Turku, Finland, in conjunction with iFM 2013. The first edition of the workshop
(2008) took place in Turku, Finland, in conjunction with Formal Methods 2008,
the second edition (2009) took place in Eindhoven, the Netherlands, as well in
conjunction with Formal Methods 2009, and the third one took place in Aachen,
Germany, in conjunction with CONCUR 2013. This volume contains the final
versions of all contributions accepted for presentation at the workshop.
The goal of the CompMod workshop series is to bring together researchers in
Computer Science and Mathematics (both discrete and continuous), interested in
the opportunities and the challenges of Systems Biology. The Program Committee
of CompMod 2013 selected 3 papers for presentation at the workshop. In
addition, we had two invited talks and five informal presentations.
The scientific program of the workshop spans an interesting mix of approaches
to systems and even synthetic biology, encompassing several different modeling
approaches, ranging from quantitative to qualitative techniques, from
continuous to discrete mathematics, and from deterministic to stochastic
methods. We thank our invited speakers Daniela Besozzi (Universita degli Studi
di Milano, Milano, Italy) and Juho Rousu (Aalto University, Finland) for
accepting our invitation and for presenting some of their recent results at
CompMod 2013.
The technical contributions address the mathematical modeling of the PDGF
signalling pathway, the canonical labelling of site graphs, rule-based modeling
of polymerization reactions, rule-based modeling as a platform for the analysis
of synthetic self-assembled nano-systems, robustness analysis of stochastic
systems, an algebraic approach to gene assembly in ciliates, and large-scale
text mining of biomedical literature.
",Ion Petre (?bo Akademi University),"Sun, 9 Jun 2013 13:42:56 GMT (267kb)","Computational Engineering, Finance, and Science (cs.CE)",Proceedings Fourth International Workshop on Computational Models for Cell Processes
"Somoclu is a massively parallel tool for training self-organizing maps on
large data sets written in C++. It builds on OpenMP for multicore execution,
and on MPI for distributing the workload across the nodes in a cluster. It is
also able to boost training by using CUDA if graphics processing units are
available. A sparse kernel is included, which is useful for high-dimensional
but sparse data, such as the vector spaces common in text mining workflows.
Python, R and MATLAB interfaces facilitate interactive use. Apart from fast
execution, memory use is highly optimized, enabling training large emergent
maps even on a single computer.
","Peter Wittek, Shi Chao Gao, Ik Soo Lim, Li Zhao","Tue, 7 May 2013 06:43:26 GMT (15kb,D) [v2] Wed, 28 Jan 2015 12:40:08 GMT (721kb,D) [v3] Mon, 11 Jan 2016 10:48:52 GMT (1712kb,D)","Distributed, Parallel, and Cluster Computing (cs.DC)",Somoclu: An Efficient Parallel Library for Self-Organizing Maps
"The Information and Communication Technologies revolution brought a digital
world with huge amounts of data available. Enterprises use mining technologies
to search vast amounts of data for vital insight and knowledge. Mining tools
such as data mining, text mining, and web mining are used to find hidden
knowledge in large databases or the Internet.
",Abdul-Aziz Rashid Al-Azmi,"Fri, 12 Apr 2013 08:04:31 GMT (321kb)",Information Retrieval (cs.IR),"Data, text and web mining for business intelligence: a survey"
